passenger_id,real_start_date,real_start_time,start_time,end_time,OD_id,start_ver,end_ver,orginal_start_ver,orginal_end_ver,original_distance,final_distance,matching_or,shared_distance,detour,gap,matching_id,matching_type,matching_ver,
87,2017-07-01,2017-07-01 00:03,3.0,14.1,1896,532,586,532,139,2293.03,2561.26,1,1654.30,268.22,906.95,91,1,532,
85,2017-07-01,2017-07-01 00:03,3.0,14.3,16503,493,334,493,334,2650.76,2650.76,1,1237.35,0.00,0.00,232,2,114,
2,2017-07-01,2017-07-01 00:00,0.0,14.3,15376,290,145,290,545,3311.97,3424.75,1,1940.62,112.77,863.98,129,2,31,
118,2017-07-01,2017-07-01 00:05,5.0,14.5,1232,33,9,299,213,2976.52,2976.52,1,2976.52,0.00,0.00,132,1,33,
28,2017-07-01,2017-07-01 00:01,1.0,14.5,2941,196,32,196,32,3230.64,3230.64,1,2697.18,0.00,0.00,127,2,348,
35,2017-07-01,2017-07-01 00:01,1.0,14.5,1340,16,379,134,341,3012.75,3012.75,1,3012.75,0.00,0.00,98,1,16,
199,2017-07-01,2017-07-01 00:08,8.0,14.6,553,230,335,214,335,1612.02,1612.02,1,1612.02,0.00,0.00,50,0,230,
20,2017-07-01,2017-07-01 00:00,0.0,14.8,5741,230,528,230,612,3671.79,3671.79,1,3671.79,0.00,0.00,44,1,230,
44,2017-07-01,2017-07-01 00:02,2.0,14.8,5741,230,528,211,528,3671.79,3671.79,1,3671.79,0.00,0.00,20,0,230,
75,2017-07-01,2017-07-01 00:03,3.0,14.9,2596,158,498,157,498,2452.15,2452.15,1,1301.45,0.00,0.00,235,2,27,
43,2017-07-01,2017-07-01 00:02,2.0,15.0,768,230,302,230,302,2069.47,2727.92,1,1766.00,658.45,447.39,148,2,650,
148,2017-07-01,2017-07-01 00:06,6.0,15.0,261,582,302,649,96,1766.00,1766.00,1,1766.00,0.00,447.39,43,0,582,
144,2017-07-01,2017-07-01 00:06,6.0,15.2,2070,25,280,253,280,2591.15,2591.15,1,994.84,0.00,0.00,228,2,26,
93,2017-07-01,2017-07-01 00:04,4.0,15.4,8810,427,123,436,123,2937.17,2937.17,1,2937.17,0.00,0.00,89,0,427,
66,2017-07-01,2017-07-01 00:02,2.0,15.9,3922,310,107,310,248,4360.02,4448.42,1,1372.62,88.40,926.95,68,1,310,
63,2017-07-01,2017-07-01 00:02,2.0,15.9,428,313,335,313,335,3314.99,3314.99,1,3314.99,0.00,644.31,45,0,313,
183,2017-07-01,2017-07-01 00:08,8.0,16.1,768,230,302,230,302,2069.47,2069.47,1,2069.47,0.00,0.00,185,1,230,
185,2017-07-01,2017-07-01 00:08,8.0,16.1,768,230,302,230,302,2069.47,2069.47,1,2069.47,0.00,0.00,183,0,230,
107,2017-07-01,2017-07-01 00:04,4.0,16.2,17702,138,280,138,350,2825.84,2825.84,0,,,,,,,
69,2017-07-01,2017-07-01 00:03,3.0,16.2,10284,117,310,117,310,2694.91,2826.69,1,566.39,131.78,452.13,229,2,115,
156,2017-07-01,2017-07-01 00:06,6.0,16.4,225,105,9,318,9,3431.71,3431.71,1,3431.71,0.00,0.00,126,0,105,
217,2017-07-01,2017-07-01 00:09,9.0,16.6,746,353,16,352,16,2303.97,2303.97,1,2303.97,0.00,0.00,162,0,353,
10,2017-07-01,2017-07-01 00:00,0.0,16.7,18971,475,652,99,652,3400.44,3859.35,1,2162.83,458.92,218.28,108,2,349,
163,2017-07-01,2017-07-01 00:07,7.0,16.7,3312,463,302,464,302,1627.48,1627.48,1,1627.48,0.00,710.44,46,0,463,
29,2017-07-01,2017-07-01 00:01,1.0,16.8,6781,562,10,512,520,4382.25,4382.25,1,3401.01,0.00,635.18,137,2,512,
12,2017-07-01,2017-07-01 00:00,0.0,16.8,507,32,302,291,302,3368.31,4415.76,1,3662.77,1047.44,752.99,23,1,32,
49,2017-07-01,2017-07-01 00:02,2.0,16.9,2333,367,77,389,86,2674.04,3692.32,1,3183.18,1018.27,509.14,94,1,367,
0,2017-07-01,2017-07-01 00:00,0.0,16.9,1379,48,105,41,541,4032.39,5224.91,1,2322.45,1192.52,995.95,6,1,48,
4,2017-07-01,2017-07-01 00:00,0.0,17.0,932,353,158,352,158,4009.34,4009.34,0,,,,,,,
34,2017-07-01,2017-07-01 00:01,1.0,17.1,396,26,158,26,158,4276.29,4276.29,0,,,,,,,
40,2017-07-01,2017-07-01 00:01,1.0,17.1,6,27,314,27,653,5559.14,5559.14,1,5559.14,0.00,0.00,16,0,27,
128,2017-07-01,2017-07-01 00:05,5.0,17.2,3282,243,77,239,526,3008.18,3008.18,1,3008.18,0.00,680.65,19,0,243,
50,2017-07-01,2017-07-01 00:02,2.0,17.2,1519,582,50,327,59,3093.86,3093.86,1,1612.02,0.00,0.00,199,2,230,
36,2017-07-01,2017-07-01 00:01,1.0,17.3,4045,498,123,530,123,5667.08,5667.08,1,5667.08,0.00,0.00,3,0,498,
252,2017-07-01,2017-07-01 00:11,11.0,17.4,3582,471,473,471,581,690.53,690.53,0,,,,,,,
113,2017-07-01,2017-07-01 00:05,5.0,17.4,601,3,80,212,382,3471.05,3471.05,1,3471.05,0.00,0.00,141,1,3,
42,2017-07-01,2017-07-01 00:02,2.0,17.4,109,105,230,108,211,3974.49,3974.49,1,1863.72,0.00,856.32,196,2,541,
191,2017-07-01,2017-07-01 00:08,8.0,17.6,17859,138,443,138,240,1551.93,1551.93,0,,,,,,,
45,2017-07-01,2017-07-01 00:02,2.0,17.6,189,314,354,325,354,3264.42,4553.04,1,3314.99,1288.62,644.31,63,1,314,
70,2017-07-01,2017-07-01 00:03,3.0,17.9,5139,517,473,516,581,3681.74,3681.74,0,,,,,,,
56,2017-07-01,2017-07-01 00:02,2.0,17.9,5592,586,498,598,498,3221.81,3221.81,0,,,,,,,
187,2017-07-01,2017-07-01 00:08,8.0,18.2,4107,354,3,354,3,2587.06,2587.06,1,2587.06,0.00,0.00,210,1,354,
220,2017-07-01,2017-07-01 00:09,9.0,18.3,202,33,314,33,653,2362.83,2402.83,1,989.87,40.00,0.00,193,0,33,
325,2017-07-01,2017-07-01 00:15,15.0,18.4,218,313,582,313,650,941.74,941.74,1,941.74,0.00,0.00,318,0,313,
116,2017-07-01,2017-07-01 00:05,5.0,18.4,207,27,243,276,238,3469.67,3469.67,1,3469.67,0.00,0.00,176,1,27,
125,2017-07-01,2017-07-01 00:05,5.0,18.5,2285,310,48,310,48,2981.54,2981.54,0,,,,,,,
291,2017-07-01,2017-07-01 00:13,13.0,18.5,2211,311,427,429,436,1238.00,1238.00,1,1238.00,0.00,0.00,275,0,311,
316,2017-07-01,2017-07-01 00:14,14.0,18.6,100,27,498,27,498,1301.45,1301.45,1,1301.45,0.00,0.00,300,0,27,
52,2017-07-01,2017-07-01 00:02,2.0,18.7,2791,463,473,463,581,4080.59,4080.59,0,,,,,,,
339,2017-07-01,2017-07-01 00:15,15.0,18.7,491,314,123,325,123,1090.09,1090.09,1,1090.09,0.00,0.00,312,0,314,
114,2017-07-01,2017-07-01 00:05,5.0,18.7,9634,632,97,632,97,2852.40,2852.40,0,,,,,,,
99,2017-07-01,2017-07-01 00:04,4.0,18.7,1748,107,236,122,235,2180.39,3150.85,1,965.11,970.46,1460.91,38,0,107,
143,2017-07-01,2017-07-01 00:06,6.0,18.9,153,473,48,477,41,2162.83,2708.22,1,994.53,545.38,272.69,289,2,47,
62,2017-07-01,2017-07-01 00:02,2.0,18.9,492,348,473,348,472,2435.35,3717.02,1,2021.56,1281.67,1031.49,151,2,69,
151,2017-07-01,2017-07-01 00:06,6.0,18.9,2716,347,473,346,349,2021.56,2021.56,1,2021.56,0.00,1031.49,62,0,347,
171,2017-07-01,2017-07-01 00:07,7.0,18.9,2651,25,443,253,443,3217.59,3217.59,1,1621.28,0.00,0.00,263,2,26,
168,2017-07-01,2017-07-01 00:07,7.0,19.0,275,313,80,313,80,3735.89,3735.89,1,3735.89,0.00,0.00,169,1,313,
54,2017-07-01,2017-07-01 00:02,2.0,19.0,15637,529,714,278,722,4505.38,4505.38,0,,,,,,,
142,2017-07-01,2017-07-01 00:06,6.0,19.1,21,27,9,221,213,4294.32,4294.32,1,4294.32,0.00,0.00,177,1,27,
204,2017-07-01,2017-07-01 00:08,8.0,19.2,210,68,32,69,297,2832.78,2832.78,1,2832.78,0.00,0.00,231,1,68,
188,2017-07-01,2017-07-01 00:08,8.0,19.4,4291,31,6,31,101,2710.28,2710.28,0,,,,,,,
192,2017-07-01,2017-07-01 00:08,8.0,19.5,2117,33,522,98,519,3235.17,3235.17,1,3235.17,0.00,0.00,179,0,33,
21,2017-07-01,2017-07-01 00:00,0.0,19.5,2204,80,48,382,48,4440.43,4759.47,1,1030.84,319.04,644.31,286,2,314,
261,2017-07-01,2017-07-01 00:12,12.0,19.6,7406,614,16,617,16,1324.42,1324.42,1,1324.42,0.00,0.00,326,1,614,
123,2017-07-01,2017-07-01 00:05,5.0,19.7,13267,458,473,458,476,2211.93,3361.32,1,792.98,1149.39,574.70,334,2,349,
53,2017-07-01,2017-07-01 00:02,2.0,19.7,1712,331,3,331,3,4114.10,4612.18,1,2116.16,498.07,0.00,47,0,331,
237,2017-07-01,2017-07-01 00:10,10.0,19.8,3799,95,32,95,297,2643.23,2643.23,0,,,,,,,
190,2017-07-01,2017-07-01 00:08,8.0,19.9,2504,105,517,541,517,3431.55,3431.55,1,3431.55,0.00,0.00,224,1,105,
121,2017-07-01,2017-07-01 00:05,5.0,19.9,287,313,310,583,712,2814.54,3697.70,1,2061.87,883.17,494.51,234,2,300,
135,2017-07-01,2017-07-01 00:05,5.0,20.0,770,302,380,302,329,3770.61,3770.61,1,3770.61,0.00,0.00,140,1,302,
122,2017-07-01,2017-07-01 00:05,5.0,20.1,635,310,80,113,700,2734.18,4048.63,1,1807.23,1314.46,655.83,268,2,10,
25,2017-07-01,2017-07-01 00:01,1.0,20.3,6585,105,383,318,383,3672.72,4136.41,1,1523.86,463.69,231.84,244,2,488,
184,2017-07-01,2017-07-01 00:08,8.0,20.3,2793,193,348,193,348,3391.78,3391.78,1,3391.78,0.00,0.00,206,1,193,
81,2017-07-01,2017-07-01 00:03,3.0,20.4,663,663,582,672,649,3087.34,3955.42,1,3087.34,868.08,434.04,165,2,666,
139,2017-07-01,2017-07-01 00:06,6.0,20.4,174,9,473,225,581,3969.56,3969.56,1,3969.56,0.00,0.00,115,0,9,
362,2017-07-01,2017-07-01 00:17,17.0,20.5,7220,532,614,532,614,992.45,992.45,1,992.45,0.00,0.00,336,0,532,
92,2017-07-01,2017-07-01 00:04,4.0,20.6,341,335,522,335,665,4016.22,4016.22,1,4016.22,0.00,314.54,15,0,335,
88,2017-07-01,2017-07-01 00:04,4.0,20.7,11720,708,1,631,444,3828.22,3828.22,0,,,,,,,
96,2017-07-01,2017-07-01 00:04,4.0,20.7,28004,683,507,683,507,3315.19,4330.37,1,3728.06,1015.18,602.31,149,1,683,
137,2017-07-01,2017-07-01 00:05,5.0,20.7,11289,507,230,507,214,4599.62,4599.62,1,3401.01,-0.00,635.18,29,0,507,
306,2017-07-01,2017-07-01 00:14,14.0,20.9,2958,558,638,146,462,1926.58,1926.58,1,1926.58,0.00,0.00,288,0,558,
33,2017-07-01,2017-07-01 00:01,1.0,21.0,1134,196,314,196,314,5336.93,5502.93,1,4830.61,166.00,672.32,57,1,196,
214,2017-07-01,2017-07-01 00:09,9.0,21.1,1099,596,393,604,393,3800.69,3800.69,1,3800.69,0.00,0.00,174,0,596,
263,2017-07-01,2017-07-01 00:12,12.0,21.5,499,26,243,26,243,1854.33,2382.03,1,1621.28,527.70,0.00,171,0,26,
160,2017-07-01,2017-07-01 00:07,7.0,21.5,5096,265,532,265,531,3998.61,3998.61,1,3304.62,0.00,693.98,223,1,265,
196,2017-07-01,2017-07-01 00:08,8.0,21.6,675,535,314,535,314,2585.76,2922.37,1,1863.72,336.61,856.32,42,0,535,
231,2017-07-01,2017-07-01 00:10,10.0,21.7,3298,68,34,69,34,3380.78,3585.77,1,2832.78,204.99,0.00,204,0,68,
102,2017-07-01,2017-07-01 00:04,4.0,21.7,1119,463,27,463,276,4060.25,4092.42,1,2528.41,32.18,760.30,239,2,558,
239,2017-07-01,2017-07-01 00:10,10.0,21.7,1319,552,27,552,27,2528.41,2528.41,1,2528.41,0.00,760.30,102,0,552,
170,2017-07-01,2017-07-01 00:07,7.0,21.7,3255,463,10,546,215,2797.18,4093.95,1,1109.21,1296.78,674.68,181,1,463,
146,2017-07-01,2017-07-01 00:06,6.0,21.7,1954,311,307,311,307,4107.86,4121.73,1,2203.29,13.87,0.00,101,0,311,
244,2017-07-01,2017-07-01 00:11,11.0,21.8,958,107,394,248,394,2006.64,2031.80,1,1523.86,25.16,231.84,25,0,107,
348,2017-07-01,2017-07-01 00:16,16.0,21.9,4828,14,6,14,198,1944.92,1944.92,1,1944.92,0.00,0.00,308,0,14,
3,2017-07-01,2017-07-01 00:00,0.0,21.9,9431,498,95,277,303,6266.17,6968.36,1,5667.08,702.19,0.00,36,1,498,
203,2017-07-01,2017-07-01 00:08,8.0,21.9,2914,582,141,649,135,4469.80,4469.80,1,4469.80,0.00,0.00,180,0,582,
222,2017-07-01,2017-07-01 00:09,9.0,22.0,60,105,335,541,335,3238.68,3238.68,1,3238.68,0.00,0.00,236,1,105,
351,2017-07-01,2017-07-01 00:17,17.0,22.0,2575,68,475,69,475,643.37,643.37,1,643.37,0.00,335.03,198,0,68,
194,2017-07-01,2017-07-01 00:08,8.0,22.0,2078,9,97,213,72,3512.67,3512.67,0,,,,,,,
265,2017-07-01,2017-07-01 00:12,12.0,22.0,1227,68,15,68,206,2264.49,2264.49,1,626.01,0.00,0.00,406,2,31,
327,2017-07-01,2017-07-01 00:15,15.0,22.0,455,473,479,478,479,1262.34,1262.34,1,1262.34,0.00,410.00,130,0,473,
126,2017-07-01,2017-07-01 00:05,5.0,22.2,115,105,302,541,94,4131.91,5078.76,1,3431.71,946.86,0.00,156,1,105,
71,2017-07-01,2017-07-01 00:03,3.0,22.2,975,9,443,225,240,5344.76,5344.76,0,,,,,,,
22,2017-07-01,2017-07-01 00:00,0.0,22.2,40,582,27,327,710,5762.55,6113.33,1,1087.59,350.79,0.00,77,1,582,
200,2017-07-01,2017-07-01 00:08,8.0,22.3,252,224,380,675,329,2903.16,2903.16,0,,,,,,,
409,2017-07-01,2017-07-01 00:20,20.0,22.5,1484,26,280,275,350,994.84,994.84,1,994.84,0.00,0.00,398,0,26,
141,2017-07-01,2017-07-01 00:06,6.0,22.5,689,3,380,3,329,4389.69,4745.91,1,3471.05,356.21,0.00,113,0,3,
83,2017-07-01,2017-07-01 00:03,3.0,22.6,447,3,473,212,473,3169.55,4569.61,1,1142.84,1400.07,995.95,31,0,3,
14,2017-07-01,2017-07-01 00:00,0.0,22.7,286,314,353,325,353,5917.41,6457.64,1,1090.09,540.23,644.31,5,0,314,
91,2017-07-01,2017-07-01 00:04,4.0,22.7,2250,353,265,351,265,3247.61,3947.05,1,1654.30,699.44,906.95,87,0,353,
72,2017-07-01,2017-07-01 00:03,3.0,22.8,1495,353,397,351,396,4400.44,4400.44,0,,,,,,,
110,2017-07-01,2017-07-01 00:05,5.0,22.8,2854,295,230,298,211,4174.32,4174.32,1,1058.65,0.00,0.00,379,2,314,
59,2017-07-01,2017-07-01 00:02,2.0,22.9,12037,274,307,274,307,5390.41,5390.41,1,5390.41,0.00,556.96,24,0,274,
225,2017-07-01,2017-07-01 00:09,9.0,22.9,1912,6,29,6,29,2508.59,3454.83,1,1694.39,946.24,1098.71,309,2,103,
48,2017-07-01,2017-07-01 00:02,2.0,23.0,13009,95,532,95,132,5005.78,5005.78,0,,,,,,,
209,2017-07-01,2017-07-01 00:09,9.0,23.1,22403,9,494,9,494,4246.11,4246.11,1,1372.62,-0.00,0.00,100,0,9,
221,2017-07-01,2017-07-01 00:09,9.0,23.1,1631,130,230,643,211,4062.37,4062.37,1,542.79,-0.00,1774.99,329,2,224,
147,2017-07-01,2017-07-01 00:06,6.0,23.3,10640,501,307,501,307,4291.51,4291.51,1,4291.51,0.00,589.93,73,0,501,
328,2017-07-01,2017-07-01 00:15,15.0,23.4,768,230,302,230,302,2069.47,2069.47,1,2069.47,0.00,0.00,152,0,230,
89,2017-07-01,2017-07-01 00:04,4.0,23.4,7023,427,224,427,675,4145.97,5474.18,1,2937.17,1328.21,0.00,93,1,427,
132,2017-07-01,2017-07-01 00:05,5.0,23.5,6711,33,141,33,141,5228.05,5975.03,1,2976.52,746.98,0.00,118,0,33,
299,2017-07-01,2017-07-01 00:13,13.0,23.7,2046,230,48,229,48,2118.51,2118.51,0,,,,,,,
267,2017-07-01,2017-07-01 00:12,12.0,23.7,8384,721,443,721,240,4120.56,4120.56,1,4120.56,0.00,0.00,278,1,721,
253,2017-07-01,2017-07-01 00:11,11.0,23.8,3253,123,663,8,304,2258.44,2258.44,1,2258.44,0.00,709.95,51,0,123,
104,2017-07-01,2017-07-01 00:04,4.0,23.9,2882,95,380,669,329,4466.02,5433.13,1,2725.87,967.11,655.83,295,2,10,
124,2017-07-01,2017-07-01 00:05,5.0,24.0,4716,385,77,415,526,2370.37,3482.96,1,2926.66,1112.59,556.30,161,1,385,
164,2017-07-01,2017-07-01 00:07,7.0,24.0,2629,347,314,346,325,4389.68,4500.94,1,3804.47,111.25,696.46,197,1,347,
281,2017-07-01,2017-07-01 00:12,12.0,24.1,18800,514,332,515,332,2794.51,2794.51,1,592.21,0.00,0.00,404,2,280,
130,2017-07-01,2017-07-01 00:05,5.0,24.1,1584,32,313,461,313,4113.25,4573.55,1,1262.34,460.29,410.00,327,2,581,
103,2017-07-01,2017-07-01 00:04,4.0,24.2,12916,497,242,497,241,4208.38,5352.80,1,2650.96,1144.43,572.21,296,2,273,
157,2017-07-01,2017-07-01 00:06,6.0,24.3,2275,1,314,37,325,4392.58,4392.58,1,1677.59,0.00,515.19,361,2,43,
133,2017-07-01,2017-07-01 00:05,5.0,24.3,1686,9,497,225,542,5148.58,5188.58,1,1802.53,40.00,734.49,117,0,9,
150,2017-07-01,2017-07-01 00:06,6.0,24.4,8972,264,77,264,526,4455.93,4455.93,0,,,,,,,
249,2017-07-01,2017-07-01 00:11,11.0,24.6,398,280,158,280,158,3281.45,3281.45,0,,,,,,,
323,2017-07-01,2017-07-01 00:15,15.0,24.6,1111,535,105,535,109,1241.40,1241.40,1,1241.40,0.00,1323.74,250,0,535,
305,2017-07-01,2017-07-01 00:14,14.0,24.6,17728,332,25,332,25,2551.79,2551.79,0,,,,,,,
294,2017-07-01,2017-07-01 00:13,13.0,24.7,989,80,230,382,211,2362.28,2362.28,1,542.79,0.00,655.83,426,2,10,
212,2017-07-01,2017-07-01 00:09,9.0,24.8,28621,475,717,99,717,3628.59,3628.59,0,,,,,,,
320,2017-07-01,2017-07-01 00:15,15.0,24.8,1612,107,586,107,586,2909.06,2909.06,1,2909.06,0.00,0.00,182,0,107,
177,2017-07-01,2017-07-01 00:07,7.0,24.9,59,27,302,27,695,4676.24,5941.38,1,4294.32,1265.13,0.00,142,0,27,
360,2017-07-01,2017-07-01 00:17,17.0,24.9,418,313,302,316,302,1655.14,1655.14,1,1655.14,0.00,548.80,304,0,313,
154,2017-07-01,2017-07-01 00:06,6.0,24.9,1976,6,708,6,577,3091.53,4455.59,1,3091.53,1364.06,692.32,259,2,186,
60,2017-07-01,2017-07-01 00:02,2.0,24.9,1594,6,9,6,9,5699.31,6222.46,1,1624.51,523.15,415.74,367,2,73,
310,2017-07-01,2017-07-01 00:14,14.0,25.0,44,314,80,314,382,3091.57,3091.57,1,3091.57,0.00,0.00,241,0,314,
205,2017-07-01,2017-07-01 00:08,8.0,25.0,3190,501,77,500,526,3903.53,4427.25,1,995.30,523.73,709.41,67,0,501,
175,2017-07-01,2017-07-01 00:07,7.0,25.0,625,32,9,291,9,4469.68,4992.83,1,1624.51,523.15,415.74,370,2,73,
337,2017-07-01,2017-07-01 00:15,15.0,25.0,1572,32,663,297,666,3013.44,3013.44,1,3013.44,0.00,0.00,331,0,32,
288,2017-07-01,2017-07-01 00:13,13.0,25.2,1579,558,32,558,296,2412.70,3114.21,1,1926.58,701.51,0.00,306,1,558,
86,2017-07-01,2017-07-01 00:03,3.0,25.3,3643,314,207,314,207,4446.21,5891.43,1,2019.32,1445.22,644.31,112,1,314,
206,2017-07-01,2017-07-01 00:08,8.0,25.3,2509,193,31,189,292,3656.33,4894.65,1,3391.78,1238.31,0.00,184,0,193,
32,2017-07-01,2017-07-01 00:01,1.0,25.4,17397,439,307,430,679,4610.49,5449.28,1,4662.83,838.78,786.44,106,1,439,
293,2017-07-01,2017-07-01 00:13,13.0,25.5,451,331,393,330,247,2240.03,2240.03,0,,,,,,,
439,2017-07-01,2017-07-01 00:21,21.0,25.5,1484,26,280,275,273,994.84,994.84,1,994.84,0.00,0.00,469,1,26,
248,2017-07-01,2017-07-01 00:11,11.0,25.5,148,105,397,541,396,3506.87,3506.87,1,3506.87,0.00,0.00,264,1,105,
109,2017-07-01,2017-07-01 00:04,4.0,25.5,652,473,331,477,330,6266.98,6266.98,1,2368.13,-0.00,0.00,134,1,473,
232,2017-07-01,2017-07-01 00:10,10.0,25.6,2816,114,314,317,314,3569.87,4120.01,1,1237.35,550.14,0.00,85,0,114,
302,2017-07-01,2017-07-01 00:14,14.0,25.7,635,310,80,113,382,2734.18,2734.18,1,2734.18,0.00,1111.57,301,0,310,
1,2017-07-01,2017-07-01 00:00,0.0,25.7,6944,26,588,275,480,8357.73,8357.73,1,1854.33,0.00,0.00,11,1,26,
234,2017-07-01,2017-07-01 00:10,10.0,25.8,239,582,335,582,335,2562.32,3504.27,1,2061.87,941.94,494.51,121,0,582,
166,2017-07-01,2017-07-01 00:07,7.0,25.9,1528,48,224,41,675,4442.99,4442.99,1,3727.03,0.00,197.90,262,2,651,
39,2017-07-01,2017-07-01 00:01,1.0,25.9,1861,313,532,313,132,5654.77,6943.39,1,5654.77,1288.62,644.31,119,2,314,
46,2017-07-01,2017-07-01 00:02,2.0,25.9,7630,145,379,145,381,5424.79,5696.45,1,1627.48,271.67,710.44,163,2,462,
19,2017-07-01,2017-07-01 00:00,0.0,26.0,4523,502,105,502,105,5877.90,6985.73,1,3008.18,1107.83,680.65,128,2,353,
375,2017-07-01,2017-07-01 00:18,18.0,26.0,1713,10,95,10,95,2031.15,2031.15,1,2031.15,0.00,370.79,233,0,10,
64,2017-07-01,2017-07-01 00:02,2.0,26.0,7369,131,107,550,118,5747.23,5747.23,1,1454.33,0.00,543.20,111,1,131,
342,2017-07-01,2017-07-01 00:16,16.0,26.0,1572,32,663,297,666,3013.44,3013.44,1,3013.44,0.00,0.00,344,1,32,
159,2017-07-01,2017-07-01 00:06,6.0,26.2,977,522,335,522,357,3995.22,4610.97,1,930.12,615.76,321.08,408,2,435,
278,2017-07-01,2017-07-01 00:12,12.0,26.3,11389,721,243,721,238,4353.61,4881.31,1,4120.56,527.70,0.00,267,0,721,
319,2017-07-01,2017-07-01 00:15,15.0,26.3,2525,26,586,26,586,2396.14,2396.14,1,1313.74,0.00,1082.40,358,1,26,
326,2017-07-01,2017-07-01 00:15,15.0,26.3,8548,614,663,614,663,3153.51,3153.51,1,1324.42,0.00,0.00,261,0,614,
349,2017-07-01,2017-07-01 00:16,16.0,26.3,32,335,314,485,325,2670.67,2670.67,1,2670.67,0.00,0.00,332,0,335,
155,2017-07-01,2017-07-01 00:06,6.0,26.4,2461,379,443,379,240,4422.38,5524.45,1,862.22,1102.07,498.89,8,0,379,
